system:index,AU_ID,devAge2,grass,paved,pm25_na,sqrt_CO2_road,sqrt_CO2_total,sqrt_traffic
0,17006,-3.181289066,-1.406711271,-1.854684273,-4.168951691,-1.962405929,-2.176716659,-1.157468063
1,17005,-3.186582051,-1.453078373,-1.868412415,-5.290439208,-2.049187795,-2.259636588,-1.177119613
2,17004,-3.186582856,-1.465205887,-1.911595583,-6.338965643,-2.079242778,-2.279851134,-1.177119613
3,17003,-3.186766319,-1.466508836,-1.910657609,-6.358738002,-2.082999958,-2.281940073,-1.177119613
4,17002,-3.186762366,-1.460500302,-1.907895872,-6.26487387,-2.069874106,-2.273202932,-1.177119613
5,17001,-3.186773689,-1.466030646,-1.878320969,-5.889088468,-2.032845746,-2.239789049,-1.177119613
6,17014,-3.183790395,-1.219662107,-1.902030496,-4.355686114,-1.984147692,-2.205032816,-1.171175592
7,17013,-3.18628741,-1.39943883,-1.909257364,-4.677326483,-2.039258894,-2.252247757,-1.176978611
8,17012,-3.186363945,-1.354811488,-1.896776245,-3.909260279,-2.00048468,-2.216164153,-1.176588588
9,17011,-3.18588001,-1.430621295,-1.899945155,-4.801090801,-2.006907181,-2.227967662,-1.175117733
0000000000000000000a,17010,-3.1867611,-1.383881857,-1.901253337,-3.872150331,-2.008246035,-2.229695548,-1.176285553
0000000000000000000b,17009,-3.184030468,-1.265514445,-1.882616148,-3.470800881,-2.010911165,-2.217280244,-1.174659664
0000000000000000000c,17008,-3.186436716,-1.460231579,-1.901639207,-5.603764566,-2.041963144,-2.248437901,-1.173663762
0000000000000000000d,17007,-3.185434139,-1.321289754,-1.88382558,-4.012215235,-2.019912164,-2.208010975,-1.172845609
0000000000000000000e,17022,-3.180015518,-0.688189578,-1.869221931,-2.312044408,-1.860800098,-2.093664904,-1.151216928
0000000000000000000f,17021,-3.163657764,-0.971949758,-1.861193472,-2.444399759,-1.906815347,-2.134963501,-1.144948961
10,17020,-3.177651379,-0.882865397,-1.872309878,-2.620159472,-1.950691188,-2.159219541,-1.155918312
11,17019,-2.938667316,-0.400515023,-1.73504329,-2.403632808,-1.81648939,-2.071703354,-1.07229309
12,17018,-3.16596677,-1.260503161,-1.879680774,-4.455458252,-2.009052915,-2.216388958,-1.165585242
13,17017,-3.172684049,-1.218448316,-1.853530014,-3.624721951,-1.826632436,-2.084248949,-1.128616546
14,17016,-3.113690961,-0.208257912,-1.833078448,-3.326887928,-1.809056039,-2.075132561,-1.143221234
15,17015,-3.175981119,-1.202567033,-1.87364011,-4.085311566,-1.705682946,-1.975162383,-1.15427119
16,17030,-3.170053208,-0.689873763,-1.871246968,-2.670013692,-1.744887436,-1.913293246,-1.133360094
17,17029,-3.157685451,-0.022584822,-1.878297684,-2.778177635,-1.735458389,-1.981576416,-1.150568376
18,17028,-3.160638749,-0.577246107,-1.860805036,-2.677311817,-1.820883373,-2.046479392,-1.115595819
19,17027,-3.186197163,-0.399709581,-1.873517457,-2.209151445,-1.807692593,-2.074380854,-1.158379724
0000000000000000001a,17026,-3.184352968,-0.192582418,-1.900039524,-2.256388308,-1.915865707,-2.134583757,-1.173575118
0000000000000000001b,17025,-3.171887746,0.152153392,-1.89128453,-2.651207643,-1.967804898,-2.176950478,-1.176713097
0000000000000000001c,17024,-3.183924985,-0.755533787,-1.865209897,-2.530665218,-1.861156997,-2.091777312,-1.15184126
0000000000000000001d,17023,-3.172687339,-0.999811191,-1.860667434,-2.592574885,-1.759901504,-2.021547735,-1.143454346
0000000000000000001e,17038,-3.185938166,-1.340614192,-1.879139871,-2.953785056,-1.992103973,-2.11440998,-1.173318269
0000000000000000001f,17037,-3.069951717,0.125928087,-1.793775265,-2.622832141,-1.748688127,-1.988590951,-1.113354433
20,17036,-3.163245172,0.019987602,-1.84054942,-2.604245859,-1.813055879,-2.058864402,-1.140938665
21,17035,-3.167838785,-0.638560225,-1.858864658,-2.825488295,-1.749092351,-1.978870219,-1.142556958
22,17034,-3.092399797,0.316647242,-1.827610802,-2.717119196,-1.627888097,-1.900945934,-1.098549489
23,17033,-3.172554411,-0.693846366,-1.855488956,-2.79542241,-1.830507669,-2.051575575,-1.136376939
24,17032,-3.074423673,-0.9276521,-1.883178694,-2.40028437,-1.722550556,-1.880498683,-1.153761516
25,17031,-3.044127047,0.286896921,-1.84251267,-2.631402203,-1.593108939,-1.870259301,-1.137179352
26,17046,-3.127926153,-0.465633061,-1.886192523,-2.250558503,-1.884767666,-2.085229856,-1.166000184
27,17045,-2.979739125,-0.445730968,-1.718906883,-2.513235302,-1.829908458,-2.004866877,-1.14671848
28,17044,-2.963740805,-0.578971524,-1.759391092,-2.369329048,-1.883295148,-2.012544248,-1.113063701
29,17043,-3.133648471,-0.45753038,-1.819457395,-2.957512402,-1.739790589,-2.010952261,-1.123613006
0000000000000000002a,17042,-3.128167044,-0.103364032,-1.82599996,-2.572200068,-1.66609133,-1.934380944,-1.116339422
0000000000000000002b,17041,-3.182819205,-0.070106302,-1.890516961,-2.894810587,-1.87249304,-2.113326811,-1.170097222
0000000000000000002c,17040,-3.119740624,-0.572433377,-1.843295072,-2.80260558,-1.639953801,-1.913039546,-1.11248548
0000000000000000002d,17039,-2.610125337,0.117889589,-1.481759889,-2.405054087,-1.376764198,-1.479847886,-1.007642696
0000000000000000002e,17054,-2.695123423,2.250235925,-1.513494167,-1.798637991,-1.472476244,-1.779805252,-1.073885693
0000000000000000002f,17053,-3.060918004,0.04336443,-1.761120522,-2.625036447,-1.653343511,-1.894960774,-1.121366945
30,17052,-2.988895621,0.265937203,-1.626214395,-2.592755557,-1.384830524,-1.219621817,-1.037625172
31,17051,-3.180276059,-1.185262922,-1.897094304,-2.010209574,-1.886114349,-2.062327424,-1.164084243
32,17050,-3.13433314,-0.856405271,-1.853079487,-2.662295925,-1.734573558,-2.003013248,-1.137702733
33,17049,-2.88924868,0.29459814,-1.771719955,-2.270065721,-1.773109769,-2.045885291,-1.12995548
34,17048,-3.068611091,0.597143728,-1.773118209,-2.05714564,-1.783341296,-2.049303997,-1.11414345
35,17047,-3.184544515,-1.116501145,-1.836760656,-2.238609285,-1.811271303,-2.079637526,-1.154463961
36,17062,-3.031273308,-0.824219955,-1.771385726,-3.085098671,-1.757845716,-2.007107089,-1.094849574
37,17061,-3.069772463,-0.383567223,-1.844318261,-3.259307277,-1.838149666,-2.09091706,-1.10960505
38,17060,-3.108645578,-0.822413734,-1.831070151,-3.098873344,-1.796486608,-1.997118598,-1.145437955
39,17059,-3.101238906,-0.511076869,-1.786677664,-2.689739433,-1.387317461,-1.713894948,-1.036793264
0000000000000000003a,17058,-3.107231282,0.042299017,-1.760124543,-2.69279121,-1.266454806,-1.619882078,-1.001091495
0000000000000000003b,17057,-3.123613434,0.193405674,-1.81247238,-2.941102774,-1.461832867,-1.764993746,-1.032993911
0000000000000000003c,17056,-3.157856936,0.344781956,-1.829322096,-2.86821184,-1.616337609,-1.925537005,-1.136061586
0000000000000000003d,17055,-2.908409817,0.168878109,-1.679597228,-2.056074318,-1.149852111,-1.528698673,-0.885462591
0000000000000000003e,17070,-3.186779261,-1.376777402,-1.896357147,-2.308089565,-1.948421604,-2.090722,-1.176723465
0000000000000000003f,17069,-3.186779261,-1.340105454,-1.910597885,-2.323409735,-2.0768029,-2.023030555,-1.177119613
40,17068,-3.183526345,-0.908164894,-1.883091369,-2.235714217,-2.043728992,-2.157211666,-1.177119613
41,17067,-3.053559466,-0.080481201,-1.738299167,-2.047354643,-1.99423369,-2.074002817,-1.156012862
42,17066,-3.177860894,0.637393766,-1.856772736,-2.138973549,-2.008509964,-2.188252484,-1.171180614
43,17065,-3.154366208,0.354159087,-1.817433203,-2.07397948,-1.976653481,-2.182162231,-1.156432582
44,17064,-3.150135341,0.839497066,-1.818337938,-2.100271911,-1.586342127,-1.883269189,-1.148150039
45,17063,-3.146444317,-1.053411899,-1.82984671,-3.258924687,-1.777439559,-2.039030688,-1.109413256
46,17078,-3.146420216,-0.917389951,-1.820634139,-2.718545496,-1.631592484,-1.891428779,-1.035227942
47,17077,-3.178587057,-1.257312927,-1.898638801,-3.195633361,-1.903818671,-2.118192321,-1.1636015
48,17076,-3.077845715,-0.445607479,-1.774649066,-2.601518117,-1.485003755,-1.765516319,-1.040776793
49,17075,-3.108630923,-0.856360029,-1.84528602,-2.936419792,-1.700862887,-1.960890091,-1.105829016
0000000000000000004a,17074,-3.002162863,0.640016723,-1.764558115,-2.541321152,-1.634999735,-1.878078797,-1.111361355
0000000000000000004b,17073,-2.270853377,-0.213010222,-1.557386809,-2.193996084,-1.61787482,-1.769897806,-1.118295107
0000000000000000004c,17072,-1.538073598,0.909106611,-1.077142793,-2.162962932,-1.464071289,-1.646520533,-1.017785193
0000000000000000004d,17071,-3.076285506,-0.616026244,-1.786297371,-2.568136994,-1.832594511,-1.917285539,-1.149302812
0000000000000000004e,17086,-3.18493309,-1.180569204,-1.865028764,-2.911385464,-1.803427036,-2.009310049,-1.147006909
0000000000000000004f,17085,-3.186634127,-0.81314771,-1.788555563,-2.667499917,-1.645860295,-1.915282879,-1.064410611
50,17084,-3.173961276,-1.011230663,-1.80891148,-2.66811356,-1.653009123,-1.92220995,-0.993185326
51,17083,-3.121564027,-0.720365123,-1.787724709,-2.610747848,-1.619341843,-1.890521314,-1.031337158
52,17082,-3.013502885,-0.493357184,-1.825721384,-2.972056714,-1.698953344,-1.951374983,-1.085952519
53,17081,-3.144087302,-0.952942976,-1.868813266,-3.487832206,-1.889370518,-2.107898718,-1.155200345
54,17080,-3.13482885,-1.134382992,-1.856919869,-2.836040001,-1.730765571,-1.997843995,-1.105859336
55,17079,-3.051774055,-0.865090212,-1.731318866,-2.570635575,-1.538276123,-1.846668963,-0.95263395
56,17094,-2.203281028,0.166302386,-1.383001132,-2.533793849,-1.485302398,-1.624132922,-1.033374586
57,17093,-3.083694771,-0.141956124,-1.765393301,-2.587416414,-1.751619956,-1.921620178,-1.137480609
58,17092,-2.641107706,-0.016475885,-1.610432842,-2.669571086,-1.710201092,-1.895435644,-1.110403564
59,17091,-2.634713449,-0.428912881,-1.606441012,-2.602314339,-1.771468251,-1.974315488,-1.14348042
0000000000000000005a,17090,-2.70398683,-0.347952515,-1.688558847,-2.617268814,-1.67318739,-1.864434786,-1.125683501
0000000000000000005b,17089,-2.890841917,-0.502378216,-1.696609373,-2.91056288,-1.67845336,-1.825660555,-1.051621264
0000000000000000005c,17088,-2.531019073,-0.002748496,-1.488832259,-2.502012405,-1.600990548,-1.852098085,-0.965808519
0000000000000000005d,17087,-3.175003655,-0.527156375,-1.791106534,-2.655214999,-1.667900905,-1.911606816,-1.047390856
0000000000000000005e,17102,-1.570005491,0.251443672,-1.142667406,-2.362588372,-1.271434212,-1.473435327,-0.753874288
0000000000000000005f,17101,-2.749496334,-0.354867745,-1.428687086,-2.544977029,-1.566481231,-1.652062474,-1.136550151
60,17100,-3.076377089,-1.09247545,-1.806778606,-2.589976765,-1.817080664,-1.707968253,-1.155306143
61,17099,-2.918828923,-0.14986424,-1.572352407,-2.622437156,-1.279433802,-1.441295606,-0.998487739
62,13006,-3.185543017,-1.35937243,-1.911595583,-4.180133242,-1.992763575,-2.207969607,-1.177119613
63,17098,-1.162043978,0.219227384,-0.651753341,-2.552131609,-1.1118519,-0.231317911,-0.757155274
64,13005,-3.18494184,-1.148827589,-1.911595583,-4.768511886,-2.006293836,-2.243023318,-1.177119613
65,17097,-0.969019985,0.685642971,-0.749422281,-2.420332565,-1.035780248,-1.12354678,-0.689494198
66,13004,-3.18592954,-0.994558749,-1.911395041,-4.973214652,-2.024947487,-2.238682272,-1.177119613
67,17096,0.59819944,0.272861964,-0.292271057,-2.221270398,-1.070604228,-0.859623257,-0.414297924
68,13003,-3.18293695,-0.33597858,-1.898528869,-3.891164022,-1.97974312,-2.199422284,-1.174901505
69,13002,-3.175845611,-0.809206768,-1.90686608,-4.155416582,-2.004328646,-2.207671036,-1.175998719
0000000000000000006a,17095,-1.06806636,0.612320916,-1.18194525,-2.409881258,-1.550108614,-1.540746768,-1.020586453
0000000000000000006b,17110,-3.185130848,-1.252582546,-1.899462746,-2.836758841,-1.982402995,-2.109250072,-1.173467473
0000000000000000006c,13001,-3.152335176,-0.664660343,-1.86931341,-3.872729513,-1.965827293,-2.188522545,-1.17416371
0000000000000000006d,17109,-3.063151809,-1.014748021,-1.808284764,-2.556014578,-1.867327981,-1.932040205,-1.12976044
0000000000000000006e,17108,-3.123808521,-1.254786065,-1.839568158,-2.673544748,-1.879557562,-2.022792361,-1.114842008
0000000000000000006f,17107,-3.14610437,-1.06291696,-1.852933584,-2.678040564,-1.885340608,-2.016811907,-1.134662697
70,13014,-2.708046733,0.147104863,-1.600629249,-1.743324735,-1.341646908,-1.519481091,-1.049587151
71,13013,-2.916497971,-0.360289725,-1.53131226,-2.207545005,-1.288788484,-1.490742449,-1.020917019
72,17106,-2.977305258,-0.713357396,-1.755698891,-2.743847987,-1.817136897,-1.973282938,-1.062736295
73,13012,-3.085905359,-0.048346199,-1.743109237,-1.850085124,-1.774695107,-1.885260125,-1.120831437
74,17105,-3.086264882,-0.80435484,-1.788434276,-2.687471538,-1.772096712,-1.999030869,-1.1495006
75,13011,-3.015897155,0.464607726,-1.747924555,-1.84313549,-1.719127018,-1.859872373,-1.118936879
76,17104,-2.917146072,2.841477065,-1.911511575,-2.748234025,-2.08726263,-1.609906157,-1.177119613
77,17103,-2.913034901,-0.766348963,-1.638024377,-2.589717578,-1.666387656,-1.87974267,-1.013220589
78,13010,-3.166431614,-0.987262778,-1.867904647,-3.812689668,-1.869981637,-2.087632867,-1.158520892
79,13009,-2.769147585,-1.419991074,-1.90559014,-2.503867817,-1.442462853,-1.604172442,-1.104739409
0000000000000000007a,17118,-3.112928295,-1.034723243,-1.820222286,-1.862365107,-1.775347642,-1.920668085,-1.126377321
0000000000000000007b,17117,-2.872501928,-0.786289213,-1.762092,-2.227926369,-1.810073807,-1.991816118,-1.052463552
0000000000000000007c,13008,-2.913347675,-1.428022699,-1.90967485,-2.760334003,-1.514607339,-1.703550355,-1.104096589
0000000000000000007d,13007,-3.18570882,-1.403479356,-1.911595583,-5.545620533,-2.041722685,-2.268907997,-1.177119613
0000000000000000007e,17116,-3.085162277,-1.190121052,-1.803459609,-2.238783051,-1.891761914,-1.984405704,-1.116188301
0000000000000000007f,17115,-3.020696912,-0.942813282,-1.812897078,-2.270552418,-1.851172227,-2.016116759,-1.133933476
80,13022,-3.172160383,-0.416514701,-1.868394756,-3.014656101,-1.868246506,-2.024301045,-1.138060811
81,17114,-2.91593657,-0.473526711,-1.666015231,-2.560478856,-1.80457515,-1.957574018,-1.088398847
82,13021,-1.313914197,-0.244854562,-0.468749617,-1.134408422,-0.440090059,-0.524606494,-0.544599357
83,13020,-3.163577201,-0.71707263,-1.843125742,-3.728570436,-1.896997195,-2.1163643,-1.143260695
84,17113,-2.0946735,-0.248597511,-1.490514089,-2.312145915,-1.755605529,-1.901028418,-0.978731822
85,17112,-2.713175794,-0.634027365,-1.808497153,-2.564389572,-1.861442907,-2.022398293,-1.095005957
