huc12id,devAge2,grass,paved,pm25_na,sqrt_CO2_road,sqrt_traffic
1.711E+11,-2.841975622,0.007097155,-1.638270067,-2.134927573,-1.512496105,-1.064268019
1.711E+11,-1.080059988,0.145750189,-0.659136116,0.605629081,-0.182527066,-0.329500352
1.711E+11,-2.781533173,1.23102608,-1.652193996,-2.290454205,-1.612566881,-1.061391311
1.711E+11,-3.104049861,-0.772647269,-1.804052156,-1.549012469,-1.778658961,-1.13792585
1.711E+11,-3.058277492,-0.691677851,-1.819386042,-1.270661439,-1.878345572,-1.123829551
1.711E+11,-2.9837028,1.099122377,-1.663111661,-1.159947984,-1.665011534,-1.080187236
1.711E+11,-2.179426994,0.030458128,-0.969509461,-2.524257743,-1.300905555,-0.940358671
1.711E+11,-2.803790306,0.756486484,-1.504792539,-0.977487316,-1.731291167,-1.108477809
1.711E+11,-3.116310265,-0.363375076,-1.816697856,-2.01894886,-1.972826737,-1.148748959
1.711E+11,-3.143871679,-0.762787394,-1.837901463,-2.485958746,-1.986444567,-1.156760499
1.711E+11,-2.780974995,-0.854042247,-1.471806984,-2.392778941,-1.252720117,-0.899977688
1.711E+11,-2.579887367,0.208171443,-1.301568277,-0.573818122,-1.104529711,-0.889132901
1.711E+11,-3.100335706,-0.904885372,-1.831925202,-2.95477101,-1.89090805,-1.144890396
1.711E+11,-3.166324719,-0.967367212,-1.857036665,-2.268767708,-1.861241142,-1.156355851
1.711E+11,-3.124197173,-0.586911915,-1.860210465,-2.154123895,-1.821730242,-1.153673255
1.711E+11,-2.960275937,-0.560128386,-1.692378989,-1.472072921,-1.512783304,-1.10155477
1.711E+11,-3.159399455,-1.152788144,-1.865592054,-3.782549419,-1.975478091,-1.156866324
1.711E+11,-3.113625545,-0.214316063,-1.836634788,-2.306378984,-1.810754429,-1.135128641
1.711E+11,-3.020549817,-0.451000114,-1.736303679,-1.366890944,-1.728323294,-1.097769273
1.711E+11,-3.166304487,-1.094603767,-1.859838238,-1.919040492,-1.974967191,-1.163731382
1.711E+11,-3.117098964,-0.935794654,-1.851118346,-2.444262717,-1.915030135,-1.151406702
1.711E+11,-3.116568139,-0.591810506,-1.812775515,-0.908431689,-1.804326004,-1.138386368
1.711E+11,-2.749133032,-0.255507933,-1.583211754,-0.13021906,-1.083633134,-0.947860638
1.711E+11,-3.010325591,-0.391576003,-1.743195332,-0.727690447,-1.635887378,-1.101420633
1.711E+11,0.19883125,0.314109764,-0.47450899,0.67170295,-0.187363643,-0.207460052
1.711E+11,-2.072045999,0.115950398,-1.247776152,-0.866134942,-1.126173447,-0.93445449
1.711E+11,-2.280731469,0.213575126,-1.347086056,-1.420061318,-1.056756315,-0.827667479
1.711E+11,-2.972922674,-0.106488393,-1.578057534,-1.662989707,-1.643695085,-1.10249254
1.711E+11,-1.811105691,-0.072249183,-1.238851124,-1.453774876,-0.928206127,-0.669088526
1.711E+11,-3.039734511,-0.536464322,-1.715737248,-2.928497108,-1.582987245,-1.063176107
1.711E+11,-3.065589554,-0.556438904,-1.770243745,-2.885089407,-1.423975482,-1.021959836
1.711E+11,-3.085137375,-0.417170026,-1.805382466,-2.936709501,-1.672635261,-1.104429845
1.711E+11,-2.904290631,-0.034241946,-1.685104072,-1.977744696,-1.696122174,-1.09988354
1.711E+11,-3.067167571,-0.444651207,-1.775964217,-2.525603832,-1.607645178,-1.078014766
1.711E+11,-2.998621448,-0.418471487,-1.770637396,-1.194665317,-1.720809879,-1.108683626
1.711E+11,-2.01342032,-0.086179258,-1.291647186,-0.207414483,-0.952067538,-0.803633362
1.711E+11,-2.202170557,-0.626921886,-1.431307918,-0.76154955,-1.314838208,-0.864489056
1.711E+11,-2.642455792,-0.376437989,-1.581460327,-0.263639982,-1.223508794,-0.941407345
1.711E+11,-2.907471514,-0.565703253,-1.739797225,-2.136222853,-1.614053325,-1.100347237
1.711E+11,-2.96374891,0.712845412,-1.685760944,-2.304215617,-1.544459574,-1.063398563
1.711E+11,-2.973351972,-0.828255563,-1.724366883,-2.437199433,-1.665774651,-1.117878093
1.711E+11,-2.702282937,0.111289716,-1.571241718,-2.547611923,-1.557781485,-1.058971862
1.711E+11,-2.856629123,0.295294198,-1.551196625,-2.682984566,-1.655940532,-1.108120596
1.711E+11,-3.062722224,-0.438076913,-1.814801187,-2.644305752,-1.76761306,-1.118801433
1.711E+11,-2.860300239,-0.372677564,-1.65822902,-0.888267612,-1.39526784,-1.023914817
1.711E+11,-2.672094057,-0.453537002,-1.599772241,-2.62340475,-1.670316234,-1.056575376
1.711E+11,-0.651128365,-0.364729338,-0.943456325,-0.493131113,-0.451578456,-0.443231616
1.711E+11,-2.779233463,-0.269892999,-1.622682161,0.450253676,-1.414713497,-1.015108314
1.711E+11,-0.399673151,-0.019544954,-0.912212659,0.599153213,-0.328248492,-0.440429234
1.711E+11,-2.910503021,0.202743001,-1.724128021,-2.455021237,-1.620721817,-1.108553183
1.711E+11,-2.74563328,1.015911975,-1.550925228,-2.745833639,-1.554862411,-1.066564852
1.711E+11,-2.902287494,-0.476400196,-1.648822973,-2.916926821,-1.644912833,-1.083847457
1.711E+11,-3.053008798,-0.508359658,-1.812768828,-2.733604215,-1.740202372,-1.114157437
1.711E+11,-3.172149726,-1.149181307,-1.88565076,-3.821797462,-1.926616393,-1.163447755
1.711E+11,-2.867745516,-0.213044121,-1.682885059,-2.629702687,-1.661868007,-1.093434517
1.711E+11,-3.165564148,-0.435135429,-1.838636956,-3.017175289,-1.935183213,-1.148211751
1.711E+11,-3.135286404,-0.87655355,-1.854157096,-3.054158785,-1.985590739,-1.162061254
1.711E+11,-0.895594727,-0.157731772,-0.677831995,-1.418854308,-0.657905647,-0.671772905
1.711E+11,-2.629843278,-0.119721828,-1.456581039,-3.083135431,-1.68116287,-1.041121423
