Band Value,intercept Count,devAge2 Count,grass Count,paved Count,pm25_na Count,sqrt_CO2_road Count,sqrt_traffic Count
-8.25,,,,,6410.93,,
-8.19,,,,,58.14,,
-8.13,,,,,181.57,,
-8.06,,,,,31.38,,
-8.00,,,,,0.02,,
-7.94,,,,,308.03,,
-7.88,,,,,2.80,,
-7.81,,,,,,,
-7.75,,,,,5.03,,
-7.69,,,,,277.19,,
-7.63,,,,,383.31,,
-7.56,,,,,18.33,,
-7.50,,,,,19.31,,
-7.44,,,,,19.65,,
-7.38,,,,,8.65,,
-7.31,,,,,81.68,,
-7.25,,,,,206.53,,
-7.19,,,,,3377.70,,
-7.13,,,,,8794.16,,
-7.06,,,,,73988.89,,
-7.00,,,,,33835.72,,
-6.94,,,,,173654.12,,
-6.88,,,,,66584.06,,
-6.81,,,,,136894.00,,
-6.75,,,,,115881.64,,
-6.69,,,,,111757.95,,
-6.63,,,,,285656.82,,
-6.56,,,,,191969.95,,
-6.50,,,,,365248.78,,
-6.44,,,,,253577.11,,
-6.38,,,,,393389.55,,
-6.31,,,,,299626.98,,
-6.25,,,,,290813.28,,
-6.19,,,,,449330.67,,
-6.13,,,,,308704.10,,
-6.06,,,,,374370.18,,
-6.00,,,,,329585.42,,
-5.94,,,,,395131.40,,
-5.88,,,,,396756.31,,
-5.81,,,,,423696.55,,
-5.75,,,,,622241.76,,
-5.69,,,,,572591.98,,
-5.63,,,,,720868.99,,
-5.56,,,,,679482.51,,
-5.50,,,,,773889.93,,
-5.44,,,,,738507.29,,
-5.38,,,,,796091.54,,
-5.31,,,,,767037.73,,
-5.25,,,,,751571.71,,
-5.19,,,,,795078.59,,
-5.13,,,,,736615.58,,
-5.06,,,,,725884.89,,
-5.00,,,,,690185.36,,
-4.94,,,,,676577.66,,
-4.88,,,,,626788.48,,
-4.81,,,,,633293.39,,
-4.75,,,,,629333.68,,
-4.69,,,,,587010.26,,
-4.63,,,,,582409.90,,
-4.56,,,,,592538.20,,
-4.50,,,,,598582.56,,
-4.44,,,,,550532.19,,
-4.38,,,,,537492.68,,
-4.31,,,,,525211.24,,
-4.25,,,,,527759.96,,
-4.19,,,,,510476.23,,
-4.13,,,,,528334.78,,
-4.06,,,,,547546.30,,
-4.00,,,,,528189.48,,
-3.94,,,,,564882.19,,
-3.88,,,,,519624.27,,
-3.81,,,,,515401.89,,
-3.75,,,,,515370.24,,
-3.69,,,,,500428.37,,
-3.63,,,,,526922.40,,
-3.56,,,,,526193.14,,
-3.50,,,,,548800.39,,
-3.44,,,,,514234.20,,
-3.38,,,,,510580.81,,
-3.31,,,,,530844.49,,
-3.25,,,,,524607.81,,
-3.19,,,,,644210.82,,
-3.16,,54555452.72,,,,,
-3.13,,,,,527799.73,,
-3.09,,,,,,,
-3.06,,,,,598422.47,,
-3.03,,,,,,,
-3.00,,84533.14,,,524033.60,,
-2.97,,,,,,,
-2.94,,,,,737318.27,,
-2.91,,,,,,,
-2.88,,302341.00,,,619538.57,,
-2.84,,,,,,,
-2.81,,,,,614049.25,,
-2.78,,,,,,,
-2.75,,,,,880621.77,,
-2.72,,,,,,,
-2.69,,,,,671889.28,,
-2.66,,,,,,,
-2.63,,76322.69,,,1063671.71,,
-2.59,,,,,,,
-2.56,,,,,705281.68,,
-2.53,,,,,,,
-2.50,,17427.12,,,982871.02,,
-2.47,,,,,,,
-2.44,,,,,664882.70,,
-2.41,,,,,,,
-2.38,,,,,654203.65,,
-2.34,,,,,,,
-2.31,,,,,944210.96,,
-2.28,,,,,,,
-2.25,,,,,604809.68,,
-2.22,,,,,,,
-2.19,,,,,947674.58,,
-2.16,,,,,,,
-2.13,,,,,592405.39,,
-2.09,,338147.78,,,,25163343.66,
-2.06,,,,,826362.34,2910347.37,
-2.03,,,,,,3424268.69,
-2.00,,,,,528778.94,3436913.58,
-1.97,,160356.17,,,,2596298.52,
-1.94,,,,56175292.03,512350.55,1832554.93,
-1.91,,,,,,1325656.37,
-1.88,,,,,706235.38,1173192.12,
-1.84,,16520.37,,,,1095159.98,
-1.81,,,,,477015.38,992986.43,
-1.78,,,,,,904908.77,
-1.75,,,,,679380.59,842933.35,
-1.72,,,,,,761270.79,
-1.69,,,,,466570.11,699753.04,
-1.66,,,,,,644506.24,
-1.63,,,,,658697.51,577560.13,
-1.59,,,,,,514325.36,
-1.56,,,,,447239.39,471698.92,
-1.53,,,,,,454514.44,
-1.50,,,47424310.52,,615639.65,393850.62,57475752.05
-1.47,,,,,,388806.74,
-1.44,,30651.29,,,431872.26,326988.87,
-1.41,,,,,,334389.58,
-1.38,,,,,401177.18,292984.94,
-1.34,,,,,,277524.49,
-1.31,,,,,525202.24,274614.10,
-1.28,,,,,,246622.40,
-1.25,,,,,373575.26,222175.77,
-1.22,,,,,,239688.68,
-1.19,,,,,409076.14,224687.19,
-1.16,,,,,,216854.67,
-1.13,,,,,320998.22,216336.78,
-1.09,,,,,,203816.69,
-1.06,,,,,365321.91,196133.59,
-1.03,,156411.53,,,,187379.74,
-1.00,,,,,268368.14,197803.88,340308.01
-0.97,,,,,,175591.66,
-0.94,,,,,273119.46,170413.52,
-0.91,,11259.98,,,,161728.84,
-0.88,,,,,379117.86,165600.71,
-0.84,,,,,,164061.92,
-0.81,,,,,268425.71,162974.98,
-0.78,,937914.51,,,,154563.41,
-0.75,,,,,403519.46,152452.26,
-0.72,,,,,,131207.86,
-0.69,,,,738722.54,247216.09,132797.24,
-0.66,,,,,,127820.57,
-0.63,,,,,301611.93,120027.27,
-0.59,,,,,,107175.86,
-0.56,,,,,228793.68,114665.08,
-0.53,,14016.38,,,,108629.85,
-0.50,,,,,213106.55,98032.19,293251.18
-0.47,,,,,,98629.46,
-0.44,,,,,233471.26,97042.82,
-0.41,,,,,,95913.80,
-0.38,,,,,173813.40,84375.23,
-0.34,,,,,,80625.66,
-0.31,,,,,194579.39,89545.86,
-0.28,,,,,,76349.53,
-0.25,,,2252238.86,,164791.28,80652.50,
-0.22,,,,,,81527.82,
-0.19,,,,,211476.52,73037.08,
-0.16,,,,,,75683.33,
-0.13,,,,,173599.37,64723.87,
-0.09,,,,,,56980.40,
-0.06,,,,,211157.80,57382.80,
-0.03,,,,,,53186.61,
0.00,,,,,161044.10,58977.46,205414.23
0.03,,,,,,52687.48,
