system:index,devAge2,grass,huc12,paved,pm25_na,sqrt_CO2_road,sqrt_traffic,.geo
000000000000000000c6,-2.841975622,0.007097155,1.711E+11,-1.638270067,-2.134927573,-1.512496105,-1.064268019,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca,-1.080059988,0.145750189,1.711E+11,-0.659136116,0.605629081,-0.182527066,-0.329500352,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d6,-2.781533173,1.23102608,1.711E+11,-1.652193996,-2.290454205,-1.612566881,-1.061391311,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,-3.104049861,-0.772647269,1.711E+11,-1.804052156,-1.549012469,-1.778658961,-1.13792585,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da,-3.058277492,-0.691677851,1.711E+11,-1.819386042,-1.270661439,-1.878345572,-1.123829551,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,-2.9837028,1.099122377,1.711E+11,-1.663111661,-1.159947984,-1.665011534,-1.080187236,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,-3.169510673,-1.469088712,1.71001E+11,-1.911564606,-3.158403042,-2.004567156,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,-2.179426994,0.030458128,1.711E+11,-0.969509461,-2.524257743,-1.300905555,-0.940358671,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,-2.803790306,0.756486484,1.711E+11,-1.504792539,-0.977487316,-1.731291167,-1.108477809,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,-3.116310265,-0.363375076,1.711E+11,-1.816697856,-2.01894886,-1.972826737,-1.148748959,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,-3.143871679,-0.762787394,1.711E+11,-1.837901463,-2.485958746,-1.986444567,-1.156760499,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,-2.780974995,-0.854042247,1.711E+11,-1.471806984,-2.392778941,-1.252720117,-0.899977688,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,-2.579887367,0.208171443,1.711E+11,-1.301568277,-0.573818122,-1.104529711,-0.889132901,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,-3.100335706,-0.904885372,1.711E+11,-1.831925202,-2.95477101,-1.89090805,-1.144890396,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,-3.166324719,-0.967367212,1.711E+11,-1.857036665,-2.268767708,-1.861241142,-1.156355851,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,-3.124197173,-0.586911915,1.711E+11,-1.860210465,-2.154123895,-1.821730242,-1.153673255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a,-2.960275937,-0.560128386,1.711E+11,-1.692378989,-1.472072921,-1.512783304,-1.10155477,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016c,-3.159399455,-1.152788144,1.711E+11,-1.865592054,-3.782549419,-1.975478091,-1.156866324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016e,-3.113625545,-0.214316063,1.711E+11,-1.836634788,-2.306378984,-1.810754429,-1.135128641,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016f,-3.020549817,-0.451000114,1.711E+11,-1.736303679,-1.366890944,-1.728323294,-1.097769273,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,-3.166304487,-1.094603767,1.711E+11,-1.859838238,-1.919040492,-1.974967191,-1.163731382,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,-3.117098964,-0.935794654,1.711E+11,-1.851118346,-2.444262717,-1.915030135,-1.151406702,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,-3.116568139,-0.591810506,1.711E+11,-1.812775515,-0.908431689,-1.804326004,-1.138386368,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,-2.749133032,-0.255507933,1.711E+11,-1.583211754,-0.13021906,-1.083633134,-0.947860638,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,-3.010325591,-0.391576003,1.711E+11,-1.743195332,-0.727690447,-1.635887378,-1.101420633,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,0.19883125,0.314109764,1.711E+11,-0.47450899,0.67170295,-0.187363643,-0.207460052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017b,-2.072045999,0.115950398,1.711E+11,-1.247776152,-0.866134942,-1.126173447,-0.93445449,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d,-2.280731469,0.213575126,1.711E+11,-1.347086056,-1.420061318,-1.056756315,-0.827667479,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e,-2.972922674,-0.106488393,1.711E+11,-1.578057534,-1.662989707,-1.643695085,-1.10249254,"{""type"":""MultiPoint"",""coordinates"":[]}"
