system:index,Watershed Name,devAge2,grass,paved,pm25_na,sqrt_CO2_road,sqrt_traffic,.geo
0,23963321,-3.186779261,-1.460551028,-1.911595583,-4.834486927,-2.054526956,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,24270530,-3.18449969,-1.074090232,-1.819955923,-3.215602465,-1.974205966,-1.164725623,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,24534750,-3.047881353,-1.120248575,-1.717867256,-2.015131197,-1.62974718,-1.077531073,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,24275127,-3.184636678,-0.499705388,-1.864939549,-3.017097723,-1.98191511,-1.169288662,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,24287618,-3.177271907,-1.438440693,-1.837473312,-4.19861935,-1.861496622,-1.154067648,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,23989085,-1.731421337,0.410563308,-1.544338953,0.04806883,-0.879310463,-0.954103349,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,24255423,-3.186779261,-1.466953346,-1.911595583,-3.203911462,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,23964649,-3.186779261,-1.469545126,-1.911595583,-5.962550835,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,23971305,-3.186779261,-1.42749341,-1.911595583,-5.319222793,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,23990861,-1.546659351,-0.472532236,-1.038448952,-0.986474269,0.430142481,0.158359246,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,24285822,-3.17566246,-0.799753015,-1.911595583,-4.214533856,-2.038437662,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,24279380,-2.627535046,0.519686218,-1.405553837,-1.820210361,-0.915490774,-0.867102434,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,23978190,-3.186779261,-1.324277739,-1.906256064,-3.795275185,-1.956314154,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,23971531,-3.122896873,-0.683032698,-1.698043181,-1.841492415,-1.616263535,-1.033619458,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,24287890,-3.133133795,-1.455306192,-1.899008333,-6.396344862,-2.07493698,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,24282266,-3.180967351,-1.453375506,-1.910231677,-5.944296743,-2.073317917,-1.176063397,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,23980777,-3.147016062,-0.660479679,-1.801652711,-2.02639346,-1.892868177,-1.13434388,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,24274783,-3.179724952,-0.925345923,-1.90961463,-4.101877371,-2.013154324,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,24274537,-3.184414634,-1.404655728,-1.899018692,-4.233436271,-2.059004511,-1.171152003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,23988298,-3.171451747,-0.716569931,-1.88109425,-3.873834933,-1.970768855,-1.176079604,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,24286948,-3.186779261,-1.092829174,-1.891953089,-3.548865478,-1.859241359,-1.17026036,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,23971399,-3.186779261,-1.432501342,-1.911595583,-5.372547907,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,24275271,-3.17928994,-0.286459304,-1.755579942,-2.572174799,-1.857050527,-1.135752207,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,23956310,-3.11048032,0.9671815,-1.911595583,-1.524526464,-1.958857509,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,24257601,-3.186779261,-1.397675211,-1.868362061,-2.121123957,-1.691553409,-1.145540204,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,24535488,-2.585242771,-0.204950794,-1.062335894,-2.647599122,-1.671290172,-1.130290082,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,24270326,-3.186779261,-1.007890047,-1.577038765,-2.858410999,-1.810112174,-0.977948374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,24274393,-2.346837968,-0.038020395,-1.911595583,-1.845953557,-1.597435389,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,24274569,-3.186779261,-0.34524277,-1.773509936,-2.980716181,-1.915882169,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,24274361,-2.295343865,1.446694532,-1.805870554,-2.013525963,-1.669057131,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,24274363,-3.173109501,0.487986946,-1.728951967,-2.019741481,-1.666519364,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,23990875,-3.095882223,2.815646059,-1.911595583,-2.462094545,-2.019379413,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,23997128,-3.186779261,-1.469545126,-1.911595583,-5.144773177,-2.056747171,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,24538276,-2.883810315,0.750256837,-1.537795834,-0.34387064,-0.566020864,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,23963561,-3.005216438,0.525520737,-1.911595583,-2.427066621,-2.059513745,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,23963893,-3.184611089,-1.406432737,-1.911595583,-3.856637723,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,24264917,-3.186779261,-1.043891582,-1.911595583,-2.27294995,-2.045120927,-1.169402992,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,24265093,-3.186779261,-1.288470172,-1.911595583,-3.154115574,-1.998395295,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,23981407,-3.004865978,-1.439039208,-1.911595583,-6.816348922,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,23980431,-1.923255438,2.366007071,-1.697891699,-0.809181441,-1.127629727,-1.090004646,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,23982329,-2.676189161,-0.24305704,-1.531869961,0.356465555,-1.026469174,-0.628821173,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,23957256,-3.186779261,-1.357612136,-1.809982891,-2.965873918,-1.988858951,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,24535056,-3.186779261,0.677323241,-1.698313958,-2.459012362,-1.832011145,-0.938203941,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,24274781,-3.186779261,-0.534039032,-1.911595583,-3.719762902,-2.087217956,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,23954039,-3.186779261,2.580875604,-1.865509431,-2.736409082,-1.988441974,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,24265081,-3.186779261,-1.066129746,-1.911595583,-2.622747261,-2.00892923,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,23970275,-2.885469159,0.014263113,-1.349506416,-1.348099442,-0.506118036,-0.082005165,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,23981429,-3.186779261,-1.458186227,-1.821898535,-4.387196068,-1.819071882,-1.081610289,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,23981141,-3.186779261,-1.46001372,-1.911595583,-5.48274702,-1.948879557,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,24255381,-3.186779261,-1.469545126,-1.911595583,-3.219199786,-1.961640307,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,24257617,-3.186779261,-1.468594523,-1.893483623,-2.123044129,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,23989615,-2.919049883,3.072033084,-1.909840794,-2.231850416,-1.575829059,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,24534694,-3.180439013,-0.358318143,-1.911595583,-1.438209183,-1.897117775,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,23980515,-3.186779261,-1.469545126,-1.911595583,-6.939745179,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,24270346,-3.186779261,-1.220829575,-1.863004791,-2.554691204,-1.857420554,-1.173686474,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,23997362,-2.819435915,0.261569972,-1.893941292,-1.978255231,-1.671922309,-1.176064875,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,23971777,-3.186779261,-1.370221508,-1.911595583,-5.733039552,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,23970667,-3.177166823,0.431808419,-1.911595583,-2.382580149,-1.879323048,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,23971545,-3.186779261,-1.182593535,-1.831183033,-1.828159219,-1.807651469,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,24274451,-3.02204908,-0.202821846,-1.637862454,-2.396614694,-1.527846085,-1.136381662,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,24270150,-2.064774243,2.419614756,-1.332259127,-2.157248415,-0.820907342,-0.758510266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,23963989,-3.150438233,-0.503484771,-1.720908326,-2.132318745,-1.769682381,-1.081700323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,23978212,-3.186779261,-1.440913515,-1.911595583,-4.922415979,-1.986279692,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,23982149,-3.122268557,-1.462332111,-1.911595583,-6.743254188,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,23956804,-3.186779261,-1.301317765,-1.88956119,-2.397447497,-1.550020805,-1.143023395,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,23981485,-3.186779261,-1.463437641,-1.911595583,-6.03035247,-2.024443267,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,24287792,-3.179717967,-1.464825451,-1.911595583,-6.45698157,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,23997206,-3.186779261,-1.455170385,-1.911595583,-4.9026195,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,23963509,-3.186779261,-1.452597638,-1.905925551,-3.493171487,-2.031195328,-1.173830387,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,24538154,-3.186779261,-1.462991012,-1.911595583,-3.846311145,-1.618923128,-1.173091224,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,24254937,-3.172245871,-1.46358376,-1.911595583,-5.41697684,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
